06/21/26 19:44:41:397 | [INFO] | 1151 | AdobeGCClient |  | AdobeGCWorkflowImpl |  |  | 10555 | istargeted flag read
06/21/26 19:44:41:470 | [INFO] | 1151 | AdobeGCClient |  | AIDWrapper |  |  | 10555 | AID library loaded successfully
06/21/26 19:44:41:471 | [INFO] | 1151 | AdobeGCClient |  | AIDWrapper |  |  | 10555 | Getting list of NGL based installed products
06/21/26 19:44:41:500 | [WARN] | 1151 | AdobeGCClient |  | AIDWrapper |  |  | 10555 | Memory not sufficient for fetching installed products from hyperdrive, size req = 2571
06/21/26 19:44:41:510 | [INFO] | 1151 | AdobeGCClient |  | AIDWrapper |  |  | 10555 | Successfully fetched list of installed products in updated memory.
06/21/26 19:44:41:510 | [INFO] | 1151 | AdobeGCClient |  | AIDWrapper |  |  | 10555 | AID response parsing started with filter: HD
06/21/26 19:44:41:510 | [WARN] | 1151 | AdobeGCClient |  | AIDWrapper |  |  | 10555 | Skipping non-HD InstallerType 'PIM', SAPCode:KCCCADS
06/21/26 19:44:41:510 | [INFO] | 1151 | AdobeGCClient |  | AIDWrapper |  |  | 10555 | AID response parsing completed
06/21/26 19:44:41:510 | [INFO] | 1151 | AdobeGCClient |  | NGLAppIDLookup |  |  | 10555 | Getting NGLAppId
06/21/26 19:44:41:510 | [INFO] | 1151 | AdobeGCClient |  | NGLAppIDLookup |  |  | 10555 | NGL App ID Not Found in local Database
06/21/26 19:44:41:510 | [INFO] | 1151 | AdobeGCClient |  | NGLAppIDLookup |  |  | 10555 | Returning NGLAppId
06/21/26 19:44:41:510 | [INFO] | 1151 | AdobeGCClient |  | NGLAppIDLookup |  |  | 10555 | Getting NGLAppId
06/21/26 19:44:41:511 | [INFO] | 1151 | AdobeGCClient |  | NGLAppIDLookup |  |  | 10555 | NGL App ID Not Found in local Database
06/21/26 19:44:41:511 | [INFO] | 1151 | AdobeGCClient |  | NGLAppIDLookup |  |  | 10555 | Returning NGLAppId
06/21/26 19:44:41:514 | [INFO] | 1151 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 10555 | Getting machine id
06/21/26 19:44:41:514 | [INFO] | 1151 | AdobeGCClient |  | SLCoreService |  |  | 10555 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
06/21/26 19:44:41:514 | [ERROR] | 1151 | AdobeGCClient |  | SLCoreService |  |  | 10555 | user based licensing: 0
06/21/26 19:44:41:514 | [INFO] | 1151 | AdobeGCClient |  | SLCoreService |  |  | 10555 | Service construction took 0.0 ms and succeed.
06/21/26 19:44:41:515 | [INFO] | 1151 | AdobeGCClient |  | SLCoreService |  |  | 10555 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
06/21/26 19:44:41:515 | [INFO] | 1151 | AdobeGCClient |  | SLCoreService |  |  | 10555 | Service destruction took 0.0 ms and succeed.
06/21/26 19:44:41:515 | [INFO] | 1151 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 10555 | machine id is lvDX0jLK0gbZyF+P50wexKoQAyVqjuma
06/21/26 19:44:41:515 | [INFO] | 1151 | AdobeGCClient |  | OSUtilitiesMac |  |  | 10555 | arm64 architecture value = 1
06/21/26 19:44:41:515 | [INFO] | 1151 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 10555 | Reading AGS service status
06/21/26 19:44:41:519 | [INFO] | 1151 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 10555 | Reading AGM service status
06/21/26 19:44:41:523 | [ERROR] | 1151 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 10555 | Last updateCheck request status read : Success
06/21/26 19:44:41:523 | [ERROR] | 1151 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 10555 | Last update check attempted timestamp read : 1782067236000
06/21/26 19:44:41:523 | [ERROR] | 1151 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 10555 | Failed to read client source of installation: 3
06/21/26 19:44:41:524 | [INFO] | 1151 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 10555 | Successfully fetched all replay write status records
06/21/26 19:44:41:524 | [DEBUG] | 1151 | AdobeGCClient |  | AdobeGCClientFetchRuleWFImpl |  |  | 10555 | Products installed on the machine, sending fetch rules
06/21/26 19:44:41:524 | [INFO] | 1151 | AdobeGCClient |  | AdobeGCIALWrapper |  |  | 10555 | Fetching Rules started
06/21/26 19:44:41:536 | [INFO] |  |  |  | DispatchClientLib |  |  | 10555 | __OOBELIB_LOG_FILE__
06/21/26 19:44:41:536 | [INFO] |  |  |  | DispatchClientLib |  |  | 10555 | Dispatch table loaded from path: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app/..//dispatchtable.xml 
06/21/26 19:44:41:542 | [INFO] |  |  |  | DispatchClientLib |  |  | 10555 | (re)load Local Dispatch Table status-[0].
06/21/26 19:44:41:542 | [INFO] |  |  |  | DispatchClientLib |  |  | 10555 | Scope : [2]
